Provider ID,Hospital Name,Address,City,State,ZIP Code,County Name,Phone Number,Hospital Type,Hospital Ownership,Emergency Services,Meets criteria for meaningful use of EHRs,Hospital overall rating,Hospital overall rating footnote,Mortality national comparison,Mortality national comparison footnote,Safety of care national comparison,Safety of care national comparison footnote,Readmission national comparison,Readmission national comparison footnote,Patient experience national comparison,Patient experience national comparison footnote,Effectiveness of care national comparison,Effectiveness of care national comparison footnote,Timeliness of care national comparison,Timeliness of care national comparison footnote,Efficient use of medical imaging national comparison,Efficient use of medical imaging national comparison footnote,Location,url1,url2,url3
520136,WHEATON FRANCISCAN - ST JOSEPH,5000 W CHAMBERS ST,MILWAUKEE,WI,53210,MILWAUKEE,4144472130,Acute Care Hospitals,Voluntary non-profit - Church,True,True,4,,Same as the national average,,Same as the national average,,Above the national average,,Below the national average,,Below the national average,,Above the national average,,Same as the national average,,"5000 W CHAMBERS ST MILWAUKEE, WI (43.073465, -87.9761)",https://www.mywheaton.org/locations/profile/wheaton-franciscan-st-joseph-campus/,https://www.mywheaton.org/locations/profile/wheaton-franciscan-st-joseph-campus-primary-specialty-care-5000-w-chambers-street-milwaukee-wi/,https://www.mywheaton.org/locations/profile/wheaton-franciscan-st-joseph-campus-primary-specialty-care-3070-n-51st-street-milwaukee-wi/
670031,ST LUKE'S PATIENTS MEDICAL CENTER,4600 EAST SAM HOUSTON PARKWAY SOUTH,PASADENA,TX,77505,HARRIS,2814870700,Acute Care Hospitals,Physician,True,True,5,,Same as the national average,,Above the national average,,Above the national average,,Below the national average,,Same as the national average,,Below the national average,,Same as the national average,,"4600 EAST SAM HOUSTON PARKWAY SOUTH PASADENA, TX (29.640261, -95.160714)",https://www.chistlukeshealth.org/locations/chi-st-lukes-health-patients-medical-center,https://www.chistlukeshealth.org/locations/chi-st-lukes-health-emergency-center-pasadena,https://www.chistlukeshealth.org/locations/emergency-department-chi-st-lukes-health%E2%80%93patients-medical-center
451349,SWISHER MEMORIAL HOSPITAL,539 SOUTHEAST 2ND,TULIA,TX,79088,SWISHER,8069953581,Critical Access Hospitals,Voluntary non-profit - Private,True,True,Not Available,There are too few measures or measure groups reported to calculate a star rating or measure group score.,Same as the national average,,Not Available,There are too few measures or measure groups reported to calculate a star rating or measure group score.,Same as the national average,,Not Available,There are too few measures or measure groups reported to calculate a star rating or measure group score.,Not Available,Results are not available for this reporting period.,Not Available,Results are not available for this reporting period.,Not Available,There are too few measures or measure groups reported to calculate a star rating or measure group score.,"539 SOUTHEAST 2ND TULIA, TX (34.535571, -101.75641)",http://www.swisherhospital.com/,http://www.swisherhospital.com/getpage.php?name=contact,http://www.swisherhospital.com/getpage.php?name=About_us
450289,HARRIS HEALTH SYSTEM,2525 HOLLY HALL,HOUSTON,TX,77054,HARRIS,7135666417,Acute Care Hospitals,Government - Hospital District or Authority,True,True,2,,Same as the national average,,Below the national average,,Below the national average,,Same as the national average,,Below the national average,,Below the national average,,Same as the national average,,"2525 HOLLY HALL HOUSTON, TX (29.685422, -95.387094)",https://www.harrishealth.org/,https://www.harrishealth.org/about-us-hh/research/Pages/research-contact.aspx,https://www.harrishealth.org/locations/hhs
520195,COLUMBIA CENTER,13125 N PORT WASHINGTON RD,MEQUON,WI,53097,OZAUKEE,2622437408,Acute Care Hospitals,Voluntary non-profit - Private,False,True,Not Available,There are too few measures or measure groups reported to calculate a star rating or measure group score.,Not Available,There are too few measures or measure groups reported to calculate a star rating or measure group score.,Not Available,There are too few measures or measure groups reported to calculate a star rating or measure group score.,Not Available,There are too few measures or measure groups reported to calculate a star rating or measure group score.,Above the national average,,Not Available,There are too few measures or measure groups reported to calculate a star rating or measure group score.,Not Available,There are too few measures or measure groups reported to calculate a star rating or measure group score.,Not Available,There are too few measures or measure groups reported to calculate a star rating or measure group score.,"13125 N PORT WASHINGTON RD MEQUON, WI (43.256306, -87.924152)","http://www.hospital-data.com/hospitals/COLUMBIA-CENTER,-LLC-MILWAUKEE.html",http://www.columbia-stmarys.org/oth/Page.asp?PageID=OTH000845,https://www.healthcare4ppl.com/hospital/wisconsin/mequon/columbia-center-520195.html
450324,TEXOMA MEDICAL CENTER,5016 S US HIGHWAY 75,DENISON,TX,75020,GRAYSON,9034164000,Acute Care Hospitals,Proprietary,True,True,3,,Same as the national average,,Below the national average,,Below the national average,,Same as the national average,,Same as the national average,,Above the national average,,Below the national average,,"5016 S US HIGHWAY 75 DENISON, TX (33.711133, -96.586956)",https://www.texomamedicalcenter.net/,https://www.facebook.com/TexomaMedicalCenter/,https://www.ahd.com/free_profile/450324/Texoma_Medical_Center/Denison/Texas/
521335,HUDSON HOSPITAL & CLINIC,405 STAGELINE ROAD,HUDSON,WI,54016,ST. CROIX,7155316000,Critical Access Hospitals,Voluntary non-profit - Private,True,True,4,,Same as the national average,,Not Available,Results are not available for this reporting period.,Same as the national average,,Above the national average,,Same as the national average,,Above the national average,,Same as the national average,,"405 STAGELINE ROAD HUDSON, WI (44.962289, -92.718839)",http://www.hudsonhospital.org/,http://www.hudsonhospital.org/careers/,http://www.hudsonhospital.org/contact-us/
451314,WINKLER COUNTY MEMORIAL HOSPITAL,821 JEFFEE DRIVE,KERMIT,TX,79745,WINKLER,4325865865,Critical Access Hospitals,Government - Local,True,True,Not Available,Data are shown only for hospitals that participate in the Inpatient Quality Reporting (IQR) and Outpatient Quality Reporting (OQR) programs.,Not Available,Data are shown only for hospitals that participate in the Inpatient Quality Reporting (IQR) and Outpatient Quality Reporting (OQR) programs.,Not Available,Data are shown only for hospitals that participate in the Inpatient Quality Reporting (IQR) and Outpatient Quality Reporting (OQR) programs.,Not Available,Data are shown only for hospitals that participate in the Inpatient Quality Reporting (IQR) and Outpatient Quality Reporting (OQR) programs.,Not Available,Data are shown only for hospitals that participate in the Inpatient Quality Reporting (IQR) and Outpatient Quality Reporting (OQR) programs.,Not Available,Data are shown only for hospitals that participate in the Inpatient Quality Reporting (IQR) and Outpatient Quality Reporting (OQR) programs.,Not Available,Data are shown only for hospitals that participate in the Inpatient Quality Reporting (IQR) and Outpatient Quality Reporting (OQR) programs.,Not Available,Data are shown only for hospitals that participate in the Inpatient Quality Reporting (IQR) and Outpatient Quality Reporting (OQR) programs.,"821 JEFFEE DRIVE KERMIT, TX (31.849739, -103.089916)",http://wcmh.net/,http://www.wcmh.net/page/Contact%20Us,http://www.wcmh.net/page/Employment%20Center
450820,HOUSTON METHODIST SUGARLAND HOSPITAL,16655 SOUTHWEST FREEWAY,SUGAR LAND,TX,77479,FORT BEND,2812748000,Acute Care Hospitals,Voluntary non-profit - Private,True,True,3,,Above the national average,,Below the national average,,Below the national average,,Above the national average,,Same as the national average,,Below the national average,,Below the national average,,"16655 SOUTHWEST FREEWAY SUGAR LAND, TX (29.590539, -95.631886)",https://www.houstonmethodist.org/locations/sugar-land/,https://www.houstonmethodist.org/womens-services/locations/sugar-land/,https://www.houstonmethodistcareers.org/jobs/houston-methodist-sugarland-hospital/
521309,MOUNDVIEW MEMORIAL HOSPITAL AND CLINICS,402 W LAKE ST,FRIENDSHIP,WI,53934,ADAMS,6083393331,Critical Access Hospitals,Voluntary non-profit - Private,True,True,3,,Not Available,Results are not available for this reporting period.,Not Available,There are too few measures or measure groups reported to calculate a star rating or measure group score.,Same as the national average,,Not Available,There are too few measures or measure groups reported to calculate a star rating or measure group score.,Same as the national average,,Above the national average,,Not Available,Results are not available for this reporting period.,"402 W LAKE ST FRIENDSHIP, WI (43.973995, -89.821026)",http://www.gundersenhealth.org/moundview/,http://www.gundersenhealth.org/moundview/contact-us/,http://www.gundersenhealth.org/moundview/clinic-locations/friendship-clinic/
490116,LEWISGALE HOSPITAL PULASKI,2400 LEE HIGHWAY,PULASKI,VA,24301,PULASKI,5409948100,Acute Care Hospitals,Proprietary,True,True,2,,Same as the national average,,Above the national average,,Below the national average,,Same as the national average,,Same as the national average,,Above the national average,,Same as the national average,,"2400 LEE HIGHWAY PULASKI, VA (37.068744, -80.758807)",https://lewisgale.com/location/lewisgale-hospital-pulaski,https://lewisgale.com/locations/lewisgale-hospital-pulaski/careers.dot,https://lewisgale.com/locations/lewisgale-hospital-pulaski/our-history.dot
521347,WESTERN WISCONSIN HEALTH,1100 BERGSLIEN ST,BALDWIN,WI,54002,ST. CROIX,7156841111,Critical Access Hospitals,Voluntary non-profit - Private,True,True,Not Available,There are too few measures or measure groups reported to calculate a star rating or measure group score.,Not Available,Results are not available for this reporting period.,Not Available,There are too few measures or measure groups reported to calculate a star rating or measure group score.,Same as the national average,,Same as the national average,,Not Available,Results are not available for this reporting period.,Not Available,There are too few measures or measure groups reported to calculate a star rating or measure group score.,Not Available,There are too few measures or measure groups reported to calculate a star rating or measure group score.,"1100 BERGSLIEN ST BALDWIN, WI (44.941282, -92.376028)",https://www.wwhealth.org/,https://www.wwhealth.org/find-us/,https://www.wwhealth.org/service/primary-care-clinic/
450774,TOPS SURGICAL SPECIALTY HOSPITAL,17080 RED OAK DRIVE,HOUSTON,TX,77090,HARRIS,2815392900,Acute Care Hospitals,Physician,True,True,5,,Not Available,There are too few measures or measure groups reported to calculate a star rating or measure group score.,Not Available,Results are not available for this reporting period.,Same as the national average,,Above the national average,,Same as the national average,,Not Available,Results are not available for this reporting period.,Not Available,There are too few measures or measure groups reported to calculate a star rating or measure group score.,"17080 RED OAK DRIVE HOUSTON, TX (30.018542, -95.444846)",http://tops-hospital.com/,http://tops-hospital.com/about-us,http://tops-hospital.com/contact-us
531314,NIOBRARA HEALTH & LIFE CENTER,921 SOUTH BALLANCEE AVENUE,LUSK,WY,82225,NIOBRARA,3073344000,Critical Access Hospitals,Government - Hospital District or Authority,True,True,Not Available,There are too few measures or measure groups reported to calculate a star rating or measure group score.,Not Available,There are too few measures or measure groups reported to calculate a star rating or measure group score.,Not Available,There are too few measures or measure groups reported to calculate a star rating or measure group score.,Not Available,There are too few measures or measure groups reported to calculate a star rating or measure group score.,Not Available,There are too few measures or measure groups reported to calculate a star rating or measure group score.,Not Available,Results are not available for this reporting period.,Not Available,Results are not available for this reporting period.,Not Available,There are too few measures or measure groups reported to calculate a star rating or measure group score.,"921 SOUTH BALLANCEE AVENUE LUSK, WY (42.753278, -104.446083)",https://niobrarahospital.com/,https://niobrarahospital.com/contact.php,https://niobrarahospital.com/wp/
520044,ST NICHOLAS HOSPITAL,3100 SUPERIOR AVE,SHEBOYGAN,WI,53081,SHEBOYGAN,9204598300,Acute Care Hospitals,Voluntary non-profit - Private,True,True,4,,Same as the national average,,Above the national average,,Above the national average,,Above the national average,,Same as the national average,,Above the national average,,Same as the national average,,"3100 SUPERIOR AVE SHEBOYGAN, WI (43.761118, -87.747143)",https://www.stnicholashospital.org/Home/,https://www.stnicholashospital.org/Contact/,https://www.stnicholashospital.org/Hospital-Information/About/
500151,ST ANTHONY HOSPITAL,11567 CANTERWOOD BOULEVARD NW,GIG HARBOR,WA,98332,PIERCE,2535302050,Acute Care Hospitals,Voluntary non-profit - Church,True,True,4,,Same as the national average,,Same as the national average,,Above the national average,,Same as the national average,,Same as the national average,,Below the national average,,Same as the national average,,"11567 CANTERWOOD BOULEVARD NW GIG HARBOR, WA (47.365033, -122.615063)",https://www.chifranciscan.org/st-anthony-hospital.html,https://www.chifranciscan.org/st-anthony-hospital/maps-and-direction,https://www.chifranciscan.org/locations/details.location.a2c03814-14bf-4688-802a-68ddee3fc1e5.html
450184,MEMORIAL HERMANN HOSPITAL SYSTEM,1635  NORTH LOOP WEST,HOUSTON,TX,77008,HARRIS,7134486796,Acute Care Hospitals,Voluntary non-profit - Private,True,True,4,,Above the national average,,Above the national average,,Same as the national average,,Same as the national average,,Same as the national average,,Below the national average,,Below the national average,,"1635 NORTH LOOP WEST HOUSTON, TX (29.812266, -95.430899)",http://www.memorialhermann.org/locations/northwest/,http://www.memorialhermann.org/locations/,http://www.memorialhermann.org/locations/memorial-hermann-greater-heights-hospital/
520075,ST VINCENT HOSPITAL,835 S VAN BUREN ST,GREEN BAY,WI,54301,BROWN,9204330111,Acute Care Hospitals,Voluntary non-profit - Church,True,True,2,,Same as the national average,,Below the national average,,Above the national average,,Above the national average,,Same as the national average,,Above the national average,,Same as the national average,,"835 S VAN BUREN ST GREEN BAY, WI (44.501039, -88.013175)",https://www.stvincenthospital.org/Home/,https://www.stvincenthospital.org/Contact/,https://www.stvincenthospital.org/Hospital-Information/Directions/
511308,BRAXTON COUNTY MEMORIAL HOSPITAL,100 HOYLMAN DRIVE,GASSAWAY,WV,26624,BRAXTON,3043645156,Critical Access Hospitals,Voluntary non-profit - Private,True,,Not Available,There are too few measures or measure groups reported to calculate a star rating or measure group score.,Not Available,Results are not available for this reporting period.,Not Available,There are too few measures or measure groups reported to calculate a star rating or measure group score.,Same as the national average,,Not Available,There are too few measures or measure groups reported to calculate a star rating or measure group score.,Not Available,Results are not available for this reporting period.,Not Available,There are too few measures or measure groups reported to calculate a star rating or measure group score.,Not Available,There are too few measures or measure groups reported to calculate a star rating or measure group score.,"100 HOYLMAN DRIVE GASSAWAY, WV (38.660126, -80.748334)",https://wvumedicine.org/braxton/,http://www.braxtonmemorial.org/Contacts-Employment-Info/,http://www.braxtonmemorial.org/Home/
450883,BAYLOR MEDICAL CENTER AT TROPHY CLUB,2850  E STATE HIGHWAY 114,TROPHY CLUB,TX,76262,DENTON,8178374600,Acute Care Hospitals,Proprietary,True,True,Not Available,There are too few measures or measure groups reported to calculate a star rating or measure group score.,Not Available,There are too few measures or measure groups reported to calculate a star rating or measure group score.,Not Available,Results are not available for this reporting period.,Not Available,Results are not available for this reporting period.,Above the national average,,Same as the national average,,Same as the national average,,Not Available,There are too few measures or measure groups reported to calculate a star rating or measure group score.,"2850 E STATE HIGHWAY 114 TROPHY CLUB, TX (32.987984, -97.175031)",http://baylortrophyclub.com/,http://baylortrophyclub.com/contact-us.html,https://www.yelp.com/biz/baylor-scott-and-white-medical-center-trophy-club-trophy-club-2
463301,PRIMARY CHILDRENS HOSPITAL,100 NORTH MARIO CAPECCHI DRIVE,SALT LAKE CITY,UT,84113,SALT LAKE,8016626212,Childrens,Voluntary non-profit - Private,True,True,Not Available,Results are not available for this reporting period.,Not Available,Results are not available for this reporting period.,Not Available,Results are not available for this reporting period.,Not Available,Results are not available for this reporting period.,Not Available,Results are not available for this reporting period.,Not Available,Results are not available for this reporting period.,Not Available,Results are not available for this reporting period.,Not Available,Results are not available for this reporting period.,"100 NORTH MARIO CAPECCHI DRIVE SALT LAKE CITY, UT (40.771331, -111.840344)",https://intermountainhealthcare.org/locations/primary-childrens-hospital/,https://intermountainhealthcare.org/locations/primary-childrens-hospital/hospital-information/welcome/,https://intermountainhealthcare.org/locations/primary-childrens-hospital/medical-services/Service%20Locations/Service%20Location%20Detail/?service=8047c8e9-ec9d-4189-9767-c0dd0c0cc197&location=441ab7e2-1b6c-4b69-8fe8-831ebd8dd3d9
531312,CODY REGIONAL HEALTH,707 SHERIDAN AVENUE,CODY,WY,82414,PARK,3075782488,Critical Access Hospitals,Government - Hospital District or Authority,True,True,4,,Same as the national average,,Not Available,Results are not available for this reporting period.,Above the national average,,Above the national average,,Same as the national average,,Same as the national average,,Same as the national average,,"707 SHERIDAN AVENUE CODY, WY (44.526025, -109.073577)",https://www.codyregionalhealth.org/,https://www.codyregionalhealth.org/contact-us/,https://www.codyregionalhealth.org/careers/
450880,BAYLOR SURGICAL HOSPITAL AT FORT WORTH,1800 PARK PLACE AVENUE,FORT WORTH,TX,76110,TARRANT,6827035600,Acute Care Hospitals,Voluntary non-profit - Private,True,True,Not Available,There are too few measures or measure groups reported to calculate a star rating or measure group score.,Not Available,There are too few measures or measure groups reported to calculate a star rating or measure group score.,Not Available,Results are not available for this reporting period.,Not Available,Results are not available for this reporting period.,Above the national average,,Same as the national average,,Not Available,Results are not available for this reporting period.,Not Available,There are too few measures or measure groups reported to calculate a star rating or measure group score.,"1800 PARK PLACE AVENUE FORT WORTH, TX (32.725778, -97.346185)",http://bshfw.com/,https://www.mapquest.com/us/texas/baylor-surgical-hospital-at-fort-worth-42416492,https://www.yelp.com/biz/baylor-surgical-hospital-at-fort-worth-fort-worth
530033,MOUNTAIN VIEW REGIONAL HOSPITAL,6550 EAST 2ND STREET,CASPER,WY,82605,NATRONA,3079958100,Acute Care Hospitals,Proprietary,True,True,Not Available,There are too few measures or measure groups reported to calculate a star rating or measure group score.,Not Available,There are too few measures or measure groups reported to calculate a star rating or measure group score.,Not Available,Results are not available for this reporting period.,Not Available,Results are not available for this reporting period.,Above the national average,,Same as the national average,,Same as the national average,,Not Available,There are too few measures or measure groups reported to calculate a star rating or measure group score.,"6550 EAST 2ND STREET CASPER, WY (42.839679, -106.225877)",https://locations.hrt.org/listing/mountain-view-regional-hospital-6550-east-2nd-street-casper-wy-82605.html,http://www.hospital-data.com/hospitals/MOUNTAIN-VIEW-REGIONAL-HOSPITAL-CASPER.html,https://www.checkbook.org/wy/casper/hospitals/mountain-view-regional-hospital/hc5f2
450639,TEXAS HEALTH HARRIS METHODIST HURST-EULESS-BEDFORD,1600 HOSPITAL PARKWAY,BEDFORD,TX,76022,TARRANT,8178484000,Acute Care Hospitals,Voluntary non-profit - Private,True,True,4,,Same as the national average,,Above the national average,,Above the national average,,Same as the national average,,Same as the national average,,Below the national average,,Same as the national average,,"1600 HOSPITAL PARKWAY BEDFORD, TX (32.833513, -97.125241)",https://www.texashealth.org/heb/,https://www.texashealth.org/heb/contact-us/,https://www.yelp.com/biz/texas-health-harris-methodist-hurst-euless-bedford-bedford
670102,"AD HOSPITAL EAST, LLC","12950 EAST FREEWAY, SUITE 100",HOUSTON,TX,77015,HARRIS,7133303897,Acute Care Hospitals,Proprietary,True,,Not Available,Data are shown only for hospitals that participate in the Inpatient Quality Reporting (IQR) and Outpatient Quality Reporting (OQR) programs.,Not Available,Data are shown only for hospitals that participate in the Inpatient Quality Reporting (IQR) and Outpatient Quality Reporting (OQR) programs.,Not Available,Data are shown only for hospitals that participate in the Inpatient Quality Reporting (IQR) and Outpatient Quality Reporting (OQR) programs.,Not Available,Data are shown only for hospitals that participate in the Inpatient Quality Reporting (IQR) and Outpatient Quality Reporting (OQR) programs.,Not Available,Data are shown only for hospitals that participate in the Inpatient Quality Reporting (IQR) and Outpatient Quality Reporting (OQR) programs.,Not Available,Data are shown only for hospitals that participate in the Inpatient Quality Reporting (IQR) and Outpatient Quality Reporting (OQR) programs.,Not Available,Data are shown only for hospitals that participate in the Inpatient Quality Reporting (IQR) and Outpatient Quality Reporting (OQR) programs.,Not Available,Data are shown only for hospitals that participate in the Inpatient Quality Reporting (IQR) and Outpatient Quality Reporting (OQR) programs.,"12950 EAST FREEWAY, SUITE 100 HOUSTON, TX (29.771136, -95.200782)",http://www.adhealthcare.com/,https://www.healthcare4ppl.com/hospital/texas/houston/ad-hospital-east-llc-670102.html,https://npino.com/hospital/1669732178-ad-hospital-east%2C-llc/
461306,GUNNISON VALLEY HOSPITAL,64 EAST 100 NORTH,GUNNISON,UT,84634,SANPETE,4355287246,Critical Access Hospitals,Proprietary,True,True,4,,Not Available,Results are not available for this reporting period.,Not Available,There are too few measures or measure groups reported to calculate a star rating or measure group score.,Below the national average,,Above the national average,,Not Available,Results are not available for this reporting period.,Same as the national average,,Not Available,Results are not available for this reporting period.,"64 EAST 100 NORTH GUNNISON, UT (39.155754, -111.815139)",http://gvhospital.org/,http://gvhospital.org/about-us/administration/,http://gvhospital.org/services/
521348,VERNON MEMORIAL HOSPITAL,507 SOUTH MAIN ST,VIROQUA,WI,54665,VERNON,6086372101,Critical Access Hospitals,Voluntary non-profit - Private,True,True,5,,Not Available,Results are not available for this reporting period.,Not Available,Results are not available for this reporting period.,Above the national average,,Above the national average,,Same as the national average,,Above the national average,,Not Available,Results are not available for this reporting period.,"507 SOUTH MAIN ST VIROQUA, WI (43.55146, -90.888946)",http://www.vmh.org/,http://www.vmh.org/content/contact-us,http://www.vmh.org/content/join-our-team
491308,RAPPAHANNOCK GENERAL HOSPITAL,101 HARRIS ROAD,KILMARNOCK,VA,22482,LANCASTER,8044358000,Critical Access Hospitals,Voluntary non-profit - Private,True,True,Not Available,There are too few measures or measure groups reported to calculate a star rating or measure group score.,Not Available,There are too few measures or measure groups reported to calculate a star rating or measure group score.,Not Available,There are too few measures or measure groups reported to calculate a star rating or measure group score.,Not Available,Results are not available for this reporting period.,Not Available,There are too few measures or measure groups reported to calculate a star rating or measure group score.,Not Available,Results are not available for this reporting period.,Same as the national average,,Not Available,There are too few measures or measure groups reported to calculate a star rating or measure group score.,"101 HARRIS ROAD KILMARNOCK, VA (37.70029, -76.389778)",https://bonsecours.com/richmond/find-a-facility/rappahannock-general-hospital,http://www.vhi.org/Bon%20Secours%20Rappahannock%20General%20Hospital.html?=h5816/,http://www.kilmarnockva.com/hospital
500030,ST JOSEPH MEDICAL CENTER,2901 SQUALICUM PARKWAY,BELLINGHAM,WA,98225,WHATCOM,3607345400,Acute Care Hospitals,Voluntary non-profit - Other,True,True,4,,Same as the national average,,Above the national average,,Above the national average,,Same as the national average,,Same as the national average,,Below the national average,,Above the national average,,"2901 SQUALICUM PARKWAY BELLINGHAM, WA (48.772278, -122.474878)",https://www.peacehealth.org/st-joseph-medical-center,https://www.peacehealth.org/st-joseph/patients-and-visitors/visiting/Pages/phone-directory,https://www.peacehealth.org/st-joseph/cardiology
450565,PALO PINTO GENERAL HOSPITAL,400 SOUTHWEST 25 AVE,MINERAL WELLS,TX,76067,PALO PINTO,9403257891,Acute Care Hospitals,Government - Hospital District or Authority,True,True,2,,Same as the national average,,Not Available,Results are not available for this reporting period.,Below the national average,,Below the national average,,Same as the national average,,Above the national average,,Below the national average,,"400 SOUTHWEST 25 AVE MINERAL WELLS, TX (32.799552, -98.145406)",https://www.ppgh.com/,https://www.ppgh.com/providers/departments.html,https://www.ppgh.com/providers/departments/69-human-resources.html
450788,"CORPUS CHRISTI MEDICAL CENTER,THE",6629 WOODRIDGE ROAD,CORPUS CHRISTI,TX,78414,NUECES,3617611501,Acute Care Hospitals,Proprietary,True,True,3,,Same as the national average,,Below the national average,,Above the national average,,Below the national average,,Same as the national average,,Same as the national average,,Same as the national average,,"6629 WOODRIDGE ROAD CORPUS CHRISTI, TX (27.681644, -97.359284)",https://ccmedicalcenter.com/location/bay-area,https://ccmedicalcenter.com/,https://ccmedicalcenter.com/location/doctors-regional
450488,ALLEGIANCE SPECIALTY HOSPITAL OF KILGORE,1612 SOUTH HENDERSON BLVD,KILGORE,TX,75662,GREGG,9039843505,Acute Care Hospitals,Proprietary,True,True,Not Available,There are too few measures or measure groups reported to calculate a star rating or measure group score.,Not Available,There are too few measures or measure groups reported to calculate a star rating or measure group score.,Not Available,Results are not available for this reporting period.,Not Available,There are too few measures or measure groups reported to calculate a star rating or measure group score.,Not Available,There are too few measures or measure groups reported to calculate a star rating or measure group score.,Not Available,Results are not available for this reporting period.,Not Available,There are too few measures or measure groups reported to calculate a star rating or measure group score.,Not Available,There are too few measures or measure groups reported to calculate a star rating or measure group score.,"1612 SOUTH HENDERSON BLVD KILGORE, TX (32.373415, -94.869207)",http://www.welcometokilgore.com/category/health/allegiance-specialty-hospital,https://www.healthcare4ppl.com/hospital/texas/kilgore/allegiance-specialty-hospital-of-kilgore-450488.html,https://www.ahd.com/free_profile/450488/Allegiance_Specialty_Hospital_of_Kilgore/Kilgore/Texas/
460052,TIMPANOGOS REGIONAL HOSPITAL,750 WEST 800 NORTH,OREM,UT,84057,UTAH,8017146800,Acute Care Hospitals,Proprietary,True,True,4,,Same as the national average,,Above the national average,,Above the national average,,Same as the national average,,Same as the national average,,Above the national average,,Not Available,Results are not available for this reporting period.,"750 WEST 800 NORTH OREM, UT (40.311875, -111.713353)",https://timphospital.com/,https://timphospital.com/about/phone-directory/,https://timphospital.com/careers/
501317,COLUMBIA BASIN HOSPITAL,200 NAT WASHINGTON WAY,EPHRATA,WA,98823,GRANT,5097544631,Critical Access Hospitals,Government - Hospital District or Authority,True,True,Not Available,There are too few measures or measure groups reported to calculate a star rating or measure group score.,Not Available,Results are not available for this reporting period.,Not Available,There are too few measures or measure groups reported to calculate a star rating or measure group score.,Not Available,Results are not available for this reporting period.,Not Available,There are too few measures or measure groups reported to calculate a star rating or measure group score.,Not Available,Results are not available for this reporting period.,Same as the national average,,Not Available,There are too few measures or measure groups reported to calculate a star rating or measure group score.,"200 NAT WASHINGTON WAY EPHRATA, WA (47.315742, -119.548125)",https://www.columbiabasinhospital.org/,https://www.columbiabasinhospital.org/contact-us/,https://www.columbiabasinhospital.org/services/acute-careswing-bed/
520208,SSM HEALTH ST MARY'S HOSPITAL - JANESVILLE,3400 EAST RACINE STREET,JANESVILLE,WI,53546,ROCK,6083738000,Acute Care Hospitals,Voluntary non-profit - Other,True,True,4,,Same as the national average,,Above the national average,,Below the national average,,Above the national average,,Same as the national average,,Above the national average,,Not Available,Results are not available for this reporting period.,"3400 EAST RACINE STREET JANESVILLE, WI (42.670982, -88.976075)",https://www.ssmhealth.com/locations/st-marys-hospital-janesville,https://www.ssmhealth.com/locations/location-details/dean-medical-group-janesville-east,https://www.ssmhealth.com/locations/location-details/emergency-room-st-marys-hospital-janesville
450237,CHRISTUS SANTA ROSA MEDICAL CENTER,2827 BABCOCK ROAD,SAN ANTONIO,TX,78229,BEXAR,2107043342,Acute Care Hospitals,Voluntary non-profit - Church,True,True,4,,Same as the national average,,Below the national average,,Above the national average,,Same as the national average,,Same as the national average,,Below the national average,,Same as the national average,,"2827 BABCOCK ROAD SAN ANTONIO, TX (29.512909, -98.591557)",http://www.christushealth.org/santa-rosa/medical-center,http://www.christushealth.org/santa-rosa/medical-center/about/contact-us,http://www.christushealth.org/santa-rosa/about/contact-us
450853,BAYLOR MEDICAL CENTER AT FRISCO,5601 WARREN PARKWAY,FRISCO,TX,75034,COLLIN,2146182000,Acute Care Hospitals,Proprietary,True,True,5,,Not Available,There are too few measures or measure groups reported to calculate a star rating or measure group score.,Above the national average,,Above the national average,,Above the national average,,Same as the national average,,Same as the national average,,Not Available,Results are not available for this reporting period.,"5601 WARREN PARKWAY FRISCO, TX (33.10671, -96.837919)",https://baylorfrisco.com/,https://baylorfrisco.com/careers/,https://baylorfrisco.com/about/directory/
490090,"SOUTHSIDE COMMUNITY HOSPITAL, INC",800 OAK STREET,FARMVILLE,VA,23901,PRINCE EDWARD,4343928811,Acute Care Hospitals,Voluntary non-profit - Other,True,True,4,,Same as the national average,,Below the national average,,Above the national average,,Same as the national average,,Same as the national average,,Same as the national average,,Above the national average,,"800 OAK STREET FARMVILLE, VA (37.303317, -78.403058)",https://www.centrahealth.com/SCH,https://www.ahd.com/free_profile/490090/Centra_Southside_Community_Hospital/Farmville/Virginia/,https://www.facebook.com/centra.sch/
451308,YOAKUM COUNTY HOSPITAL,412 MUSTANG AVENUE,DENVER CITY,TX,79323,YOAKUM,8065922121,Critical Access Hospitals,Government - Local,True,True,Not Available,There are too few measures or measure groups reported to calculate a star rating or measure group score.,Same as the national average,,Not Available,There are too few measures or measure groups reported to calculate a star rating or measure group score.,Same as the national average,,Not Available,There are too few measures or measure groups reported to calculate a star rating or measure group score.,Not Available,There are too few measures or measure groups reported to calculate a star rating or measure group score.,Not Available,There are too few measures or measure groups reported to calculate a star rating or measure group score.,Not Available,There are too few measures or measure groups reported to calculate a star rating or measure group score.,"412 MUSTANG AVENUE DENVER CITY, TX (32.968378, -102.836391)",http://ych.us/,http://ych.us/contact,http://ych.us/ych
