 Item Description,Charge Amount
SCREW VARIAX S-TAP 3.5 X 18MM,184.95
SCREW VARIAX S-TAP 3.5 X 20MM,184.95
SCREW VARIAX S-TAP 3.5 X 22MM,184.95
SCREW VARIAX S-TAP 3.5 X 24MM,184.95
SCREW VARIAX S-TAP 3.5 X 26MM,250.43
SCREW VARIAX S-TAP 3.5 X 28MM,184.95
SCREW VARIAX S-TAP 3.5 X 30MM,184.95
SCREW VARIAX S-TAP 3.5 X 34MM,184.95
SCREW VARIAX S-TAP 3.5 X 38MM,184.95
SCREW VARIAX S-TAP 3.5 X 50MM,184.95
SCREW VARIAX S-TAP 3.5 X 50MM,369.9
SCREW VARIAX S-TAP 3.5 X 55MM,369.9
SCREW VARIAX S-TAP 3.5 X 70MM,184.95
SCREW VARIAX S-TAP 3.5MM X 44 MM,184.95
SCREW VARIAX S-TAP 3.5X60MM,184.95
SCREW VARIBLE ANGLE LCK SLF-TAP STARDRV 3.5 X 36MM,296.4
SCREW VARIBLE ANGLE LCK SLF-TAP STARDRV 3.5 X 40MM,296.4
SCREW VARIBLE ANGLE LCK SLF-TAP STARDRV 3.5X30MM,296.4
SCREW VBR SMALL 12MMX16-25MM TI,15875
SCREW VERSA-FIX 12.7D X 90MM,690
SCREW VIPER  CORT FIX 6X 50,2500
SCREW VIPER 8X45,2500
SCREW VIPER CANN EX-TAB 6 X35MM,2500
SCREW VIPER CANN EX-TAB 6 X40MM,2500
SCREW VIPER CANN POLY 4.35 X 35MM,2500
SCREW VIPER CANN POLY 5 X 30MM,2500
SCREW VIPER CANN POLY 5 X 35MM,2500
SCREW VIPER CANN POLY 5 X 40MM,2500
SCREW VIPER CANN POLY 5 X 45MM,2500
SCREW VIPER CANN POLY 6 X 30MM,2500
SCREW VIPER CANN POLY 6 X 35MM,2500
SCREW VIPER CANN POLY 6 X 40MM,2500
SCREW VIPER CANN POLY 6 X 45MM,2500
SCREW VIPER CANN POLY 6 X 50MM,2500
SCREW VIPER CANN POLY 7 X 30MM,2500
SCREW VIPER CANN POLY 7 X 35MM,2500
SCREW VIPER CANN POLY 7 X 40MM,2500
SCREW VIPER CANN POLY 7 X 45MM,2500
SCREW VIPER CFX 4.35MM X 40MM,2500
SCREW VIPER CFX 4MM X 25MM,2500
SCREW VIPER CFX 4MM X 30MM,2500
SCREW VIPER CFX 4MM X 35MM,2500
SCREW VIPER CPR,2375
SCREW VIPER FENESTRATED 6 X 45MM,2750
SCREW VIPER PLUS CORT FIX 5 X 35MM 5.5TI,2500
SCREW VIPER PLUS CORT FIX 5 X 40MM 5.5TI,2500
SCREW VIPER PLUS CORT FIX 5 X 45MM,2500
SCREW VIPER PLUS CORT FIX 6 X 30MM 5.5TI,2500
SCREW VIPER PLUS CORT FIX 8 X 45MM,2500
SCREW VIPER POLY 8 X 35MM,2500
SCREW VIPER POLY 8 X 50MM,2500
SCREW VIPER POLY 8 X 55MM,2500
SCREW VIPER SAI 8X 70MM,2500
SCREW VIPER SAI 8X 80MM,2500
SCREW VIRAGE 3.5 X 22MM,1500
SCREW VIRAGE 3.5MM X 10MM,1500
SCREW VIRAGE 3.5MM X 14MM,1500
SCREW VIRAGE 3.5MM X 20MM,1500
SCREW VIRAGE 3.5MM X 24MM,1500
SCREW VIRAGE 3.5MM X 26MM,1500
SCREW VIRAGE 3.5MM X 28MM,1500
SCREW VIRAGE 3.5MM X 30MM,1500
SCREW VIRAGE 3.5MM X12MM,1500
SCREW VIRAGE 3.5MM X16MM,1500
SCREW VIRAGE 3.5MM X18MM,1500
SCREW VIRAGE 4.0MM X 10MM,1500
SCREW VIRAGE 4.0MM X 12MM,1500
SCREW VIRAGE 4.0MM X 18MM,1500
SCREW VIRAGE 4.0MM X 20MM,1500
SCREW VIRAGE 4.0MM X 24MM,1500
SCREW VIRAGE 4.5MM X 20MM,1500
SCREW VIRAGE 4.5MM X 25MM,1500
SCREW VIRAGE 4.5MM X 30MM,1500
SCREW VIRAGE 5.0MM X 25MM,1500
SCREW VIRAGE SMOOTH SHANK 3.5 X 26MM,1500
SCREW VIRAGE SMOOTH SHANK 3.5 X 32,1500
SCREW VIRAGE SMOOTH SHANK 3.5 X 33,1500
SCREW VIRAGE STANDARD CLOSURE TOP,125
SCREW VOYAGER 6.5 X 35,7250
SCREW VOYAGER 6.5X40,2500
SCREW VSD 4.0 X 16MM,375
SCREW VUEPOINT 11 3.5X10MM,1500
SCREW VUEPOINT 11 3.5X12MM,1500
SCREW VUEPOINT II 4.0 X 10MM,1500
SCREW WICHITA COMPRESSION,4171.5
SCREW WICHITA SELF TAP 6.0 MM X 30 MM,583.5
SCREW WICHITA SELF TAP 6MM X 35MM,583.5
SCREW WICHITA SELF TAP 6MM X 40MM,583.5
SCREW WICHITA SELF TAP 6MM X 45MM,583.5
SCREW WITH DISPOSABLE SHEATH 9 X 23MM,625
SCREW X-DRIVE SELF DRILLING 1.5 X 4MM,260
SCREW XERO-P CERVICAL SD VA 3.7 X 14MM,625
SCREW XERO-P CERVICAL SD VA 3.7 X 16MM,625
SCREW XERO-P CERVICAL SD VA 3.7 X 16MM,625
SCREW XERO-P CERVICAL ST VA 3.7 X 16MM,625
SCREW XIA3  6.5 X 40MM,1500
SCREW XIA3  6.5 X 45MM,1500
SCREW XIA3  6.5 X 50MM,1500
SCREW XIA3  7.5 X 45MM,1500
SCREW XIA3  8.5 X 40MM,2500
SCREW XIA3 4.5 X 40MM PA,1500
SCREW XIA3 5.5 X 40MM PA,1500
SCREW XIA3 5.5 X 45MM PA,1500
SCREW ZEPHIC 13MM,810
SCREW ZIP MIS ISP 08MM X 35MM,10640
SCREW ZNN INTERLCK FT CORT 5.0 X30MM,393.25
SCREW ZNN INTERLCK FT CORT 5.0 X40MM,393.25
SCREWDIVER CANN HEX 2.5MM AO,1091.07
SCREWDRIVER,5440.5
SCREWDRIVER BLADE SELF RETAINING-LONG MATRIX MANDIBLE / THORAX,2396.39
SCREWDRIVER CANNULATED 2.0MM AO COUPLING STERILE,860.22
SCREWDRIVER CANNULATED 3.0MM AO COUPLING STERILE,850.5
SCREWDRIVER CANNULATED T20,1518.75
SCREWDRIVER HEXAGONAL 3.5MM CANNULATED,1318.41
SCREWDRIVER STAR SHAFT T15/QC,1790.37
SCREWDRIVER STAR SHAFT T16/QC,1033.7
SCREWDRIVER STAR SHAFT T25/QC,997.79
SCREWS 12MM VER. ANGLE,1057.5
SCREWS 40 5.0MM REVRE PEDI,3380
SCREWS CHECKPOINT 3.5MM HEX,207
SCREWS PARTIALLY THREADED 4.0 MM X 32 MM,367.2
SCREWS RAD PEG PARTIAL THREAD 1.5X20MM,168.75
SCREWS RAD PEG PRTIAL THREAD 2.5X18MM,180
SCREWS RADIUS PEG FULL THREAD 2.5X24MM,202.5
SCROTAL RETRACTION SYSTEM,1530
SEAL DAVINCI SINGLE SITE PORT FOR 8.5MM ENDOSCOPE,641.25
SEALER DISSECTING DS3.5C,4112.55
SEALER ENDOWRIST VESSEL 8MM,2677.5
"SEAMGUARD CIRCULAR F/ ETHICON ECS29,CDH29,SDH29",1269
"SEAMGUARD CIRCULAR F/ETHICON ECS25,CDH25,SDS25",705
SEAMGUARD F/COVIDIEN ENDO GIA STAPLER PURPLE,679.5
SEAMGUARD F/ECHELON 45 ENDOPATH STAPLER WHT/BLU/GLD/GRN,681.39
SEAMGUARD F/ECHELON 60 ENDOPATH STAPLER WHT/BLU/GLD/GRN,726.39
SEAMGUARD F/ENDOPATH ETS FLEX 45 WHT/BLU/GRN,681.38
SEAMGUARD F/ENDOPATH ETS FLEX 60 WHT/BLU/GRN,652.5
SEAMGUARD FOR ENDO GIA UNIV. ROTICULAR 45,679.5
SECURE STRAP ABSORBABLE 5MM 12/STRAPS,1683
SEMITENDONOSIS,4250
SEPRAFILM 5 X 6 ADHESION BARRIER FILM,1220
SEPRAFILM PROCEDURE 3 X 5  6-SHEETS/PK,2961
SEQ FOOT IMPAD COVER X-LGE RIGID SOLE,247.5
SEQUENTIAL DILATOR SET,1800
SERFAS PROBE KNEE/ SHOULDER 90-S CRUISE 4MM,807.21
SET CRAWFORD LACRIMAL INTUBATION,324
SET INTRODUCER PERCUTANEOUS TRACH,702.65
SET JUGGEKNOT DISPOSABLE 1.0MM,1102.5
SET JUGGEKNOT DISPOSABLE 1.5MM,1071
SET JUGGEKNOT DISPOSABLE 2.9MM,1791
SET SCREW T2 RECON,369.18
SET SCREW T2 RECON F/OBLIQUE,379.25
SET SCREW VERTEX SELECT M6,125
SET SCREW VUEPOINT 11,125
SET SCREWS,771.23
SET TUBING INSUFFLATION TEM,608.4
SHAFT 40MM FIBULA,1453.38
SHAFT FIBULA,1568.95
SHAFT FIBULA 100MM,1607.38
SHAFT FIBULA 10CM,1923.53
SHAPER BLADE SET,3375
SHEALTH DESTINATION 6FR 65 CM,522
SHEARS ENDO MINI 5MM USS,900
SHEARS LAPAROSCIPIC COAG 5MM,1612.41
SHEARS LAPAROSCOPIC SHEARS,1799.33
SHEATH  54CM URETERAL ACCESS,454.5
SHEATH  ACCESS URETERAL 12FR,630
SHEATH 24CM URETERAL ACCESS,481.5
SHEATH 38CM URETERAL ACCESS,481.5
SHEATH DESTINATION RENAL 6 X 45CM,369
SHEATH DESTINATION W/DIALATOR 7FR X 65CM,522
SHEATH DRYSEAL 20FR,1327.5
SHEATH DRYSEAL 22FR,1507.5
SHEATH DRYSEAL W/HYDROPHILIC 12FR X 28CM,1170
SHEATH DRYSEAL W/HYDROPHILIC 16FR X 28CM,1170
SHEATH DRYSEAL W/HYDROPHILIC 18FR X 28CM,1723.5
SHEATH DRYSEAL W/HYDROPHILIC 20FR X 28CM,1723.5
SHEATH DRYSEAL W/HYDROPHILIC 22FR,1552.5
SHEATH DRYSEAL W/HYDROPHILIC 24FR X28,1552.5
SHEATH ENDO-SCRUB 2 0-DEG 4MM,259.78
SHEATH FLEXOR 7 X 70buyer,310.32
SHEATH FLEXOR 7 X 90,315
SHEATH FLEXOR HIGH FLEX ANSEAL KCFW-6.0-35-55-RB-HFAN1-HC,268.38
SHEATH FLEXOR HIGH FLEX ANSEAL KCFW-7.0-35-55-RB-HFAN1-HC,268.38
SHEATH FLEXOR HIGH FLEX ANSEAL KCFW-8.0-35-55-RB-HFAN1-HC,268.38
SHEATH INTRODUCER AFX 17 X 45CM,1507.5
SHEET TITANIUM MTB 38 X 50 X 1.6MM,2720
SHEETMINI PLATE CHANNEL 40 X 52 X 2.3MM,2205
SHELL ACETAB TRILOGY 58MM,3425
SHELL ACETABULAR MULTI HOLE GROUP 5 64MM O.D.,9634.5
SHELL TM ACETABULAR 36MM USE WITH 62MM O.D,3750
SHELL TRABECULAR METAL REVISION 66MM,3425
SHELL TRIDENT TITANIUM HEMISPHERE 56MM,10000
SHELL/CUP TRITANIUM HEMISPHERICAL CLUSTER HOLE 56MM,0
SHOE ROCKER LARGE,8100
SHOULDER  REVERSE AQUALIS FULL-WEDGE AUG BASEPLATE 25MM,5750
SHOULDER  REVERSE AQUALIS STD BASEPLATE 29MM,1500
SHOULDER AEQUALIS 36MM GLENOID SPHERE CENTERED,3500
SHOULDER AEQUALIS 36MM HUMERAL METAPHYSIS CEMENT,2000
SHOULDER AEQUALIS CORTILOC PEGGED GLENOID,2000
SHOULDER AEQUALIS CORTILOC PEGGED GLENOID S35,2000
SHOULDER AEQUALIS HUMERAL HEAD 37 X 13.5MM,2000
SHOULDER AEQUALIS HUMERAL HEAD 37 X 14MM,2000
SHOULDER AEQUALIS HUMERAL HEAD 41 X 15.0MM,2000
SHOULDER AEQUALIS HUMERAL HEAD 43 X 16.0MM,2000
SHOULDER AEQUALIS HUMERAL HEAD 46 X 17.0MM,2000
SHOULDER AEQUALIS HUMERAL HEAD 48 X 18.0MM,2000
SHOULDER AEQUALIS HUMERAL HEAD 50 X 19.0MM,2000
SHOULDER AEQUALIS HUMERAL HEAD 50MM X 16 MM,2000
SHOULDER AEQUALIS HUMERAL HEAD 52 X 19.0MM,2000
SHOULDER AEQUALIS HUMERAL HEAD 52 X 23.0MM,2000
SHOULDER AEQUALIS HUMERAL INSERT 36 X 6MM,1250
SHOULDER AEQUALIS HUMERAL INSERT 36MM +12,1250
SHOULDER AEQUALIS HUMERAL INSERT 36MM +9,1250
SHOULDER AEQUALIS HUMERAL SPACER 36MM +9,3085
SHOULDER AEQUALIS HUMERAL STEM STD PTC 3C/137.5DEG,7250
SHOULDER AEQUALIS INSERT LAT REV/CONSTR 36 X 12MM,1250
SHOULDER AEQUALIS INSERT LAT REV/CONSTR 36 X 9MM,1250
SHOULDER AEQUALIS KEELED GLENOID LARGE,2000
SHOULDER AEQUALIS KEELED GLENOID MEDIUM,2000
SHOULDER AEQUALIS PEGGED GLENOID LARGE,2000
SHOULDER AEQUALIS PEGGED GLENOID MEDIUM,2000
SHOULDER AEQUALIS STEM CEMENTED 12X100MM REVERSE,7250
SHOULDER AEQUALIS STEM CEMENTED 15X100MM REVERSE,7250
SHOULDER AEQUALIS STEM CEMENTED 6.5MM REVERSED,7250
SHOULDER AEQUALIS STEM CEMENTED 6.5X150MM REVERSE,7250
SHOULDER AEQUALIS STEM CEMENTED 9 X 100MM,7250
SHOULDER ANCHOR PEG CENTER DRILL 40/44MM,660.92
SHOULDER ANCHOR PEG CENTER DRILL BIT,660.92
SHOULDER ANCHOR PEG DRILL BIT PERIPHERAL,660.92
SHOULDER ASCENT FLEX ECCENTRIC HUMERAL,2000
SHOULDER ASCENT FLEX ECCENTRIC HUMERAL,2000
SHOULDER ASCENT FLEX ECCENTRIC REVERSED,2000
SHOULDER ASCENT FLEX REVERSED TRAY TH +0,2000
SHOULDER ASCENT FLEX REVERSED TRAY TH 0,2000
SHOULDER ASCENT FLEX STD PTC STEM,7250
SHOULDER ASCENT FLEX STD PTC STEM,7250
SHOULDER ASCENT HUMERAL FLEX STD PTC STEM 5B,7250
SHOULDER ASCENT HUMERAL HEAD,2000
SHOULDER ASCNET FLEX LONGF PTC STEM,7250
SHOULDER BASEPLATE LONG POST 25MM,3000
SHOULDER CAGE GLENOID BETA CURVE -MEDIUM,4125
SHOULDER DELTA EXTEND CEMENTLESS METAGLENE +10MM,5304
SHOULDER DRILL BIT 2.5 X 170MM,877.5
SHOULDER DRILL BIT KIT EQUINOXE REVERSE DIA 2.0 X 3.2MM,1350
SHOULDER DUAL RADIUS HUMERAL HEAD 40 X21 MM,3125
SHOULDER DUAL RADIUS HUMERAL HEAD 45 X 15 MM,3125
SHOULDER DUAL RADIUS HUMERAL HEAD 45 X21 MM,3125
SHOULDER DUAL RADIUS HUMERAL HEAD 50 X24 MM,3125
SHOULDER DXTEND MBLOC HUM CEM EPI SZ-1 8MM LONG,8250
SHOULDER EQUINOXE HUMERAL HEAD SHORT 41MMX16MM,2000
SHOULDER EQUINOXE HUMERAL HEAD TALL 44MMX21MM,2000
SHOULDER EQUINOXE HUMERAL LONG STEM 8 X 175 MM,7250
SHOULDER EQUINOXE REPLICATOR PLATE,1500
SHOULDER EQUINOXE REVERSE GLENOSPEHERE 38MM,2000
SHOULDER EQUINOXE REVERSE GLENOSPEHERE 42MM,2000
SHOULDER EQUINOXE REVERSE TORQUE DEFINING SCREW KIT,562.5
SHOULDER EQUINOXE SQUARE TORQUE DEFINE SCREW DRIVE KIT,500
SHOULDER FLEX H7UMERAL HEAD 39MMX14MM,2000
SHOULDER FLEX SYSTEM AEQUALIS HUMERAL HEAD 50 MM X 16 MM,2500
SHOULDER FLEX SYSTEM CORTILOC GLENOID AUGMENT SZ- SMALL,2750
SHOULDER GLENOID EQUINOXE CAGE MEDIUM ALPHA CVR,4125
SHOULDER GLENOID EQUINOXE POST AUG RIGHT SMALL,4125
SHOULDER GLENOID PEGGED SIZE 40,2000
SHOULDER GLENOID PLATE REVERSE,2000
SHOULDER GLENOID SELF PRESSURIZING REUNION TSA SZ-40,3125
SHOULDER GLENOID SELF-PRESSURIZING REUNION  TSA SIZE 44,3125
SHOULDER GLENOID SELF-PRESSURIZING REUNION TSA SIZE 48,3125
SHOULDER GLENOID SELF-PRESSURIZING SIZE 52,3125
SHOULDER GLENOID TM 52MM,4000
SHOULDER GLENOLD BASEPLATE REUNION RSA 28 MM,3750
SHOULDER GLENOSPHERE ECCENTRIC 36MM X 2MM,3750
SHOULDER GUIDE PIN F/METAGLENE 2.5MM,472.5
SHOULDER HEAD HUMERAL OFFSET 21 X 52MM,4354.1
SHOULDER HUMERAL CUP REUNION 32MM X 4MM,3750
SHOULDER HUMERAL FRACTURE STEM REUNION RSA 8MM X 1 MM,10500
SHOULDER HUMERAL HEAD AEQUALIS,2000
SHOULDER HUMERAL HEAD FLEX SYSTEM 52MM X 23MM,2000
SHOULDER HUMERAL HEAD REUNION RSA TRIAL ADAPTER,698.5
SHOULDER HUMERAL INSERT REUNION RSA X3 32MM X 4 MM,3750
SHOULDER HUMERAL LINER 38MM +0,1500
SHOULDER HUMERAL LINER 38MM +2.5,1500
SHOULDER HUMERAL LINER 38MM +2.5,1500
SHOULDER HUMERAL LINER 42MM +0,1500
SHOULDER HUMERAL LINER 42MM +2.5MM,1500
SHOULDER HUMERAL RESURFACING CAGE 25 MM,2000
SHOULDER HUMERAL RESURFACING HEAD 47 MM,11000
SHOULDER HUMERAL REVERSE TRAY ADAPTER + 0MM,3250
SHOULDER HUMERAL REVERSE TRAY ADAPTER + 5MM,3250
SHOULDER HUMERAL STEM FLEX SYSTEM SZ-7C,7250
SHOULDER HUMERAL STEM PRIMARY PRESS  FIT 15 MM,5250
SHOULDER HUMERAL STEM PRIMARY PRESS FIT 11 MM,5250
SHOULDER HUMERAL STEM PRIMARY PRESS-FIT 13MM,5250
SHOULDER HUMERAL STEM PRIMARY PRESS-FIT 7MM,5250
SHOULDER HUMERAL STEM PRIMARY PRESS-FIT 9MM,5250
SHOULDER HUMERAL STEM STD PTC,7250
SHOULDER HUMERAL STEM STD PTC AEQUALIS SA-2C 137.5,7250
SHOULDER HUMERAL STEM STD PTC FLEX 4B,7250
SHOULDER HUMERAL STEM SZ-5C,7250
SHOULDER HUMERAL STEM SZ-6B,8000
SHOULDER PIN BREAKAWAY APG 2.5MM,1327.5
SHOULDER PIN GLENOSPHERE GUIDE 1.5 X 300MM,472.5
SHOULDER RADIAL HEAD SZ 3,2910.88
SHOULDER RESTRICTOR CEMENT,370
SHOULDER REV AEQUALIS HUMERAL STEM 7MMX130MM,7250
SHOULDER REV AEQUALIS INSERT LAT  36MM,1250
SHOULDER REVERSE AEQUALIS PF STEM 15MM,750
SHOULDER REVERSE AEQUALIS STD GLENOID 36MM,3000
SHOULDER REVERSE AEQUALIS STD GLENOID 39MM,3000
SHOULDER REVERSE INSERT,1250
SHOULDER REVERSE POSTERIOR AUGMENT GLENOID LEFT 8DEG,4898.38
SHOULDER REVERSE POSTERIOR AUGMENT GLENOID RIGHT 8DEG,4898.38
SHOULDER REVERSEAEQUALIS STD BASEPLATE 25MM,1500
SHOULDER REVISION STEM GLOBAL UNITE SZ 6 X 142MM,7837.5
SHOULDER SCREW COMPRESSION/LOCK CAP KIT 4.5 X 18MM WHT,187.5
SHOULDER SCREW COMPRESSION/LOCK CAP KIT 4.5 X 22MM BLK,187.5
SHOULDER SCREW COMPRESSION/LOCK CAP KIT 4.5 X 26MM ORG,187.5
SHOULDER SCREW COMPRESSION/LOCK CAP KIT 4.5 X 30MM BLU,187.5
SHOULDER SCREW COMPRESSION/LOCK CAP KIT 4.5 X 34MM RED,187.5
SHOULDER SCREW COMPRESSION/LOCK CAP KIT 4.5 X 38MM GRN,187.5
SHOULDER SCREW COMPRESSION/LOCK CAP KIT 4.5 X 42MM YLW,187.5
SHOULDER SCREW GUIDE PIN 1.2 X 5MM,312.75
SHOULDER SCREW LOCKING GLENOSPERE,187.5
SHOULDER SOLAR BI-POLAR HEAD 45MM,2375
SHOULDER SOLAR BI-POLAR HEAD 50MM,2375
SHOULDER SOLAR BI-POLAR MODULAR HEAD 22MM +0NK,2375
SHOULDER SOLAR BI-POLAR MODULAR HEAD 22MM +4NK,2375
SHOULDER SOLAR GLENOID PEGGED SZ-5 2-PEGS,3302.5
SHOULDER SOLAR GLENOID PEGGED SZ-5 KEELED,3302.5
SHOULDER SOLAR GLENOID PEGGED SZ-7 2-PEGS,3302.5
SHOULDER SOLAR GLENOID PEGGED SZ-7 KEELED,3302.5
SHOULDER SOLAR HUMERAL HEAD 40 X 12MM,2375
SHOULDER SOLAR HUMERAL HEAD 40 X 15MM,2375
SHOULDER SOLAR HUMERAL HEAD 40 X 18MM,2375
SHOULDER SOLAR HUMERAL HEAD 40 X 21MM,2375
SHOULDER SOLAR HUMERAL HEAD 45 X 15MM,2375
SHOULDER SOLAR HUMERAL HEAD 45 X 18MM,2375
SHOULDER SOLAR HUMERAL HEAD 45 X 21MM,2375
SHOULDER SOLAR HUMERAL HEAD 50 X 21MM,2375
SHOULDER SOLAR HUMERAL HEAD 50 X 24MM,2375
SHOULDER SOLAR HUMERAL STEM  9MM,5375
SHOULDER SOLAR HUMERAL STEM 10MM,5375
SHOULDER SOLAR HUMERAL STEM 11MM,5375
SHOULDER SOLAR HUMERAL STEM 12MM,5375
SHOULDER SOLAR HUMERAL STEM 14MM,5375
SHOULDER SOLAR HUMERAL STEM 15MM,5375
SHOULDER STAGEONE SPACER STEM 42 X 18 X 46 MM,9197.5
SHOULDER STEM HUMERAL TM 48-DEG 18 X 130MM,8838.9
SHOULDER STEM REUNION FRACTURE 10MM,5625
SHOULDER STEM REUNION FRACTURE 12MM,5625
SHOULDER STEM REUNION FRACTURE 9MM,5625
SHOULDER STEM STD SZ4,4787.75
SHUNT CAROTID BYPASS 17FR TAPER TO 10FR JAVID,427.5
SHUNT CLEARVIEW INTRA-CORONARY 1.00MM,175
SHUNT CLEARVIEW INTRA-CORONARY 1.25MM,175
SHUNT CLEARVIEW INTRA-CORONARY 1.50MM,175
SHUNT CLEARVIEW INTRA-CORONARY 1.75MM,175
SHUNT CLEARVIEW INTRA-CORONARY 2.00MM,175
SHUNT CLEARVIEW INTRA-CORONARY 2.25MM,175
SHUNT CLEARVIEW INTRA-CORONARY 2.50MM,175
SHUNT CLEARVIEW INTRA-CORONARY 2.75MM,175
SHUNT CLEARVIEW INTRA-CORONARY 3.00MM,175
SHUNT DENVER,9225
SHUNT EQUIFLOW REGULAR 2.0,4007.48
SHUNT KIT STRATA NSC LUMBOPERITONEAL,8013.13
SHUNT LOW FLOW LUMBAR VALVE OSV11,9239.98
SHUNT LUMBAR PERITONEUM,9239.98
SHUNT PASSER 36CM,666.22
SHUNT PROGAV W/ CONTROL RESERVOIR,7326.5
SHUNT STRATA 2 REG,7339.35
SHUNT STRATA II VALVE REGULAR,7010.25
SHUNT SUNDT EXTERNAL 3MM X 4MM,1595.93
SHUNT SUNDT EXTERNAL W NON REINFORCED SEGMENT 3.0MM X 4MM,2205
SHUNT SUNDT EXTERNAL W NON REINFORCED SEGMENT 3.5 MM X 4MM,2141.37
SHUNT SUNDT EXTERNAL W NON REINFORCED SEGMENT 3.5 MM X 5MM,2205
SHUNT SUNDT EXTERNAL W NON REINFORCED SEGMENT 4.0 MM X 5MM,2205
SHUNT VALVE FLOW OSVII COONECTION W/ANTECHAMBER,9050.95
SHUNT VALVE HAKIM PROGRAMABLE & UNITIZED DISTAL CATH,7843.08
SHUNT VALVE HAKIM PROGRAMABLE W/SG & UNITIZED DISTAL CATH,8805.35
SHUNT VALVE HAKIM PROGRAMABLE W/SIPHONGUARD,8805.35
SHUNT VALVE LOW FLOW NPH 2-PIECE SYSTEM,9050.95
SHUNT VALVE LOW FLOW NPH 3-PIECE,7319.73
SHUNT VALVE LOW FLOW NPH KIT,9165.78
SI GRASPER 5MM THORACIC,1080
SIDEPLATE OMEGA PLUS 130DEG X 12-SLOT,1236.9
SIDEPLATE OMEGA PLUS 130DEG X 8-SLOT,1236.9
SIDEPLATE OMEGA PLUS 145DEG X 4-SLOT,1006.95
SIGMOIDOSCOPE DISPOSABLE KIT,362.33
SILICON 1000 OIL 8.5ML VIAL,1280.83
SILICON HEAD PAD,283.5
SILICONE OIL STRL 10 ML U ONLY AS NEEDED,1885.28
SILS PORT F/5MM-12MM CANNULA,2600.24
SINU-FOAM STAMBURGER,351
SINUS PROPEL CONTOUR  IMPLANT,1937.5
SINUS PROPEL MINI MOMETASOME FUROATE IMPLANTbuyer,387.5
SINUS PROPEL MOMETASOME FUROATE IMPLANT buyer,1937.5
SINUS SYSTEM RELIEVA BALLOON SINUPLASTY FRONTAL,7537.5
SLED OLECRANON 50MM,2487.5
SLEEK 1.5MM X 4CM X 150 OTW PTA DIL CATH,1103.81
SLEEK 2.0MM X 10CM X 150 OTW PTA DIL CATH,1103.81
SLEEK 2.0MM X 10CM X 150 RX PTA DIL CATH,1103.81
SLEEK 2.0MM X 15CM X 150 RX PTA DIL CATH,1103.81
SLEEK 2.0MM X 4CM X 150 OTW PTA DIL CATH,1103.81
SLEEK 2.0MM X 4CM X 150 RX PTA DIL CATH,1103.81
SLEEK 2.0MM X 8CM X 150 RX PTA DIL CATH,1103.81
SLEEK 2.5MM X 10CM X 150 RX PTA DIL CATH,1103.81
SLEEK 2.5MM X 15CM X 150 RX PTA DIL CATH,1103.81
SLEEK 2.5MM X 4CM X 150 RX PTA DIL CATH,1103.81
SLEEK 2.5MM X 8CM X 150 OTW PTA DIL CATH,1103.81
SLEEK 2.5MM X 8CM X 150 RX PTA DIL CATH,1103.81
SLEEK 3.0MM X 10CM X 150 OTW PTA DIL CATH,1103.81
SLEEK 3.0MM X 10CM X 150 RX PTA DIL CATH,1103.81
SLEEK 3.0MM X 15CM X 150 OTW PTA DIL CATH,1103.81
SLEEK 3.0MM X 15CM X 150 RX PTA DIL CATH,1103.81
SLEEK 3.0MM X 22CM X 150 OTW PTA DIL CATH,1103.81
SLEEK 3.0MM X 4CM X 150 OTW PTA DIL CATH,1103.81
SLEEK 3.0MM X 4CM X 150 RX PTA DIL CATH,1103.81
SLEEK 3.0MM X 8CM X 150 OTW PTA DIL CATH,1103.81
SLEEK 3.0MM X 8CM X 150 RX PTA DIL CATH,1103.81
SLEEK 3.5MM X 4CM X 150 RX PTA DIL CATH,1103.81
SLEEK 3.5MM X 80CM  OTW PTA DIL CATH,1103.81
SLEEK 4.0MM X 10CM X 150 RX PTA DIL CATH,1103.81
SLEEK 4.0MM X 15CM X 155 RX PTA DIL CATH,1103.81
SLEEK 4.0MM X 4CM X 150 RX PTA DIL CATH,1103.81
SLEEK 4.0MM X 8CM X 150 OTW PTA DIL CATH,613.23
SLEEK 4.0MM X 8CM X 150 RX PTA DIL CATH,1103.81
SLEEK 5.0MM X 15CM X 150 OTW PTA DIL CATH,1103.81
SLEEK 5.0MM X 4CM X 150 OTW PTA DIL CATH,1103.81
SLEEK BALLOON OTW 1.5 X120MM X150CM,1103.81
SLEEVE 4.5MM/2.0MM  INSERT 93MM,312.08
SLEEVE 4.5MM/3.2MM  INSERT 93MM,312.08
SLEEVE ADAPTER TO LPS FEM COMP,999.88
SLEEVE ADAPTER TO LPS FEM COMP +0MM,999.88
SLEEVE ST360 ADJ TRANSVERSE 5.5MM SILVER,1432.4
SLING ALTIS URO-GYN,3230
SLING MINIARC SINGLE-INCISION SYSTEM,2790
SLING RETROARC RETROPUBIC SYSTEM,3275
SLINGSHOT 70 DEG UP,1119.74
SLS CHARGING SYSTEM 2.0,4725
SMART TOE HAMMERTOE 20MM,2110.35
SMART TOE HAMMERTOE IMPLANT,2110.35
SMART TOE HAMMERTOE IMPLANT,2110.35
SMOOTHER 7.9 GORE,1187.78
SNAP-LID CONNECTOR CABLE F/NERO STIM,855
SNARE DISPOSABLE ELECTRUSURGICAL,855
SNARE GOOSE NECK 15MM X 120CM AMPLATZ,1305
