FIM DESCRIPTION,LH PRICE
KNEE 3 VIEW RIGHT,774
KNEE 4 VIEW OR MORE LEFT,463
KNEE 4 VIEW OR MORE RT,463
KNEE LIMITED 1-2 VIEW LT,598
KNEE LIMITED 1-2 VIEW RT,598
KNEE ORTHOSIS PREFAB,350
KNEE ORTHOSIS PREFAB,350
KNEE ORTHOSIS PREFAB,350
KNEES STANDING BILAT AP,468.51
KOH PREPARATION,17.52
KRAS MUTATION ANALYSIS,493
LACOSAMIDE,48.79
LACRIMAL FLOW STUDY,1944
LACTIC ACID,41.29
LACTOSE-1OF3,50.04
LACTOSE-2OF3,7.51
LACTOSE-3OF3,7.51
LAMBDA LIGHT CHAINS URINE 2OF2,23.26
LAMOTRIGONE,48.79
LANG COMP CURRENT STATUS,0.01
LANG COMP D/C STATUS,0.01
LANG COMP GOAL STATUS,0.01
LANG EXPRESS CURRENT STATUS,0.01
LANG EXPRESS D/C STATUS,0.01
LANG EXPRESS GOAL STATUS,0.01
LD ISOENZYMES,5
LDCT FOR LUNG CA SCREEN,350
LDH,5
LEAD BLOOD,47.29
LEGIONELLA PNEUMOPHILA AB (IGG),26.3
LEGIONELLA PNEUMOPHILA AB (IGM),26.3
LEGIONELLA SPECIES CULTURE,33.53
LEGIONELLA URINARY AG,38.03
LEPOSPIRA AB AGGL,85.58
LEUK ALK PHOS STAIN,32.28
LEUK/LYMPH EVA W/O DNA,362
LEUK/LYMPH EVA W/O DNA/2,16.5
LEUK/LYMPH PHENO 1 OF 22,362
LEUKO REDUCED RBC RARE,950
LEUKO REDUCED RBC'S,791
LEVETIRACETAN,48.79
LIDOCAINE,49.54
LIMITED VASCULAR STUDY-PLACENTAL,995
LIPASE,27.02
LIPID PROFILE,47.54
LIPOPROTEIN A,48.04
LIPOPROTEIN ANALYSIS,58.04
LITHIUM LEVEL,25.27
LIVER IMAGE (SPECT),4294
LIVER IMAGE (SPECT)W/FLOW,5539
LIVER IMAGE W/VASC FLOW,2394
LIVER TISSUE IRON,25.27
LIVER/SPLEEN IMAGING-STAT,2628
LIVER/SPLEEN SCAN W/FLOW,2779
LIVER-KIDNEY MICROSOME IG,57.05
LO SS HEAD/HND/FT/DIG 1ST 100CM2,3345
LO SS HEAD/HND/FT/DIG 1ST 25CM2,3345
LO SS HEAD/HND/FT/DIG EAADD 25CM2,3345
LO SS HEAD/HND/FT/DIG EAADD100CM2,3345
LO SS TRUNK/ARM/LEG 1ST 100CM2,3345
LO SS TRUNK/ARM/LEG 1ST 25CM2,3345
LO SS TRUNK/ARM/LEG EA ADD 100CM2,3345
LO SS TRUNK/ARM/LEG EA ADDL 25SCM,3345
LOCM 100-199 MG PER ML,1.13
LOCM 200-299 MG PER ML,0.58
LOCM 200-299 MG PER ML,0.58
LOCM 300-399 MG PER ML,0.58
LOCM 300-399 MG PER ML,0.58
LOCM 300-399 MG PER ML,1.13
LOCM 300-399 MG/ML PER ML,0.58
LONG TERM HEMODIALYSIS CATH LVL 1,550
LOW EXT INFANT 2 VIEW LT,330
LOW EXT INFANT 2 VIEW RT,330
LOWER RESP CULT (1OF2),33.53
LR PLT DIVIDE,618
LR RBC DIVIDE,617
LS RATIO,83.82
LUMBAR PUNCTURE DIAGNOSTIC,725
LUMBAR SP 1 VIEW ETC/OR,213
LUMBAR SPINE AP & LAT 2 OR 3 VW,213
LUMBO SAC SPINE BEND 2 OR 3 VW,355
LUMBO SAC SPINE BEND MIN 6 VW,355
LUMBOSACRAL SPINE MIN 4V,355
LUNG PERF&VENT DIFFERENTL,4156
LUNG VENT & PERF IMAGING,4156
LUNG VENTILATION IMAGING,1741
LUNG VOLUMES GAS DILUTION PFT,385
LUTENIZING HORMONE,73.82
LYME AB 2 OF 2 IGM BLOT,26.63
LYME DISEASE DNA SYNOV FLUID/CSF,102.31
LYME IGG & IGM AB (1OF2),26.63
LYME TEST,60.55
LYMPHANGIO EXTREM BIL S/I,3338.15
LYMPHANGIO PEL/ABD BIL S/I,3652.94
LYMPHOSCINIGRAM,2141
LYSOZYME  SERUM,51.8
MAA PER STUDY UP TO 10 MCI,62
MAC OR GN BROTH ENRICHMENT,26.02
MAG3 TC99M MERTIATIDE UP TO 15MCI,871
MAGNESIUM,26.27
MAGNESIUM RBC,26.27
MAGNESIUM URINE,26.27
MAMMO GUIDE NEEDLE LOC ADD,2500
MAMMO GUIDE NEEDLE LOC LT,2500
MAMMO GUIDE NEEDLE LOC RT,2500
MAMMOTOME PROBE,660
MAN MUS TEST BODY W HANDS,185
MAN MUS TEST BODY W HANDS MOD 59,185
MAN MUS TEST BODY WO HANDS,185
MAN MUS TEST BODY WO HANDS MOD 59,185
MAN MUS TEST EXT,185
MAN MUS TEST EXT MOD 59,185
MAN MUS TEST HANDS,185
MAN MUS TEST HANDS MOD 59,185
MAN MUSCLE TEST BODY ONLY,185
MAN MUSCLE TEST BODY ONLY,185
MAN MUSCLE TEST BODY/HAND,185
MAN MUSCLE TEST BODY/HAND,185
MAN MUSCLE TEST EXT/TRUNK,185
MAN MUSCLE TEST EXT/TRUNK,185
MAN MUSCLE TEST HANDS ONLY,185
MAN MUSCLE TST HANDS ONLY,185
MAN TX EA 15 MIN,185
MAN TX EA 15 MIN,185
MAN TX EA 15 MIN MOD 59,185
MANDIBLE MIN 4 VIEWS,919
MANUAL MUSCLE TEST BODY,185
MANUAL MUSCLE TEST BODY W HANDS,185
MANUAL MUSCLE TEST EXTREM,185
MANUAL MUSCLE TEST HANDS,185
MANUAL THERAPY EA 15 MIN,185
MANUAL THERAPY EA 15 MIN,185
MANUAL THERAPY EA 15 MIN MOD 59,185
MASSAGE EA 15 MIN,175
MASSAGE EA 15 MIN,175
MASSAGE EA 15 MIN MOD 59,175
MDI DEMO/EVAL W/TX,225
MDI SUBSEQUENT,47
MDP TC99M MEDRONATE UP TO 30 MCI,135
MECH REMOVAL INTRALUMINAL,824
MECH REMOVAL PERICATH OB,824
MECONIUM DRUG SCREEN,200
MED AERO TX < 60 MIN,111
MED AERO TX EVAL/DEMO < 60 MIN,140
MED NUTR THER GRP 30 MIN,100
MEMORY CURRENT STATUS,0.01
MEMORY D/C STATUS,0.01
MEMORY GOAL STATUS,0.01
MERCURY QUANTITATIVE,63.06
MERCURY QUANTITATIVE,63.06
METANEPHRINES FRAC QN 24-HR,65.31
METHANOL STAT,62.56
METHOTREXATE,48.79
METHYLMALONIC ACID,64.31
MEXILETINE (MEXITIL)  SERUM,48.79
MGMT GENE METHYLATION ANAL,376
MI 2 AUTOANTIBODIES,65.56
MIDDLE CEREBRAL ARTERY DOPPLER,292
MISC ZERO CHARGE TEST,0
MISCELLANEOUS (0-10),63
MISCELLANEOUS (101-200),523
MISCELLANEOUS (11-20),87
MISCELLANEOUS (201-300),767
MISCELLANEOUS (21-30),111
MISCELLANEOUS (301-400),1009
MISCELLANEOUS (31-40),135
MISCELLANEOUS (401-500),1252
MISCELLANEOUS (41-50),161
MISCELLANEOUS (501-600),1495
MISCELLANEOUS (51-60),184
MISCELLANEOUS (601-700),1738
MISCELLANEOUS (61-70),208
MISCELLANEOUS (701-800),1980
MISCELLANEOUS (71-80),233
MISCELLANEOUS (801-900),2223
MISCELLANEOUS (81-90),257
MISCELLANEOUS (901-1000),2467
MISCELLANEOUS (91-100),282
MITOCHONDRIA M2 AB (IGG),48.04
MIXING STUDY PT EA,14.01
MIXING STUDY PTT EA,21.02
MNT INITIAL ASSESS 15 MIN,57
MNT REASSESS 15 MINS,53
MOBILITY CURRENT STATUS,0.01
MOBILITY CURRENT STATUS,0.01
MOBILITY D/C STATUS,0.01
MOBILITY D/C STATUS,0.01
MOBILITY GOAL STATUS,0.01
MOBILITY GOAL STATUS,0.01
MOD SED OTH PHYS<5YRS INIT 15MIN,228
MOD SED OTH PHYS>/5YRS INIT 15MIN,228
MOD SED OTHER PHYS EA ADD 15MIN,228
MOD SED SAME PHYS >/5YRS INIT 15,228
MOD SED SAME PHYS 5YRS>/INIT 15,228
MOD SED SAME PHYS EA ADD 15MIN,228
MOD SED SAME PHYS<5YRS INIT 15MIN,228
MOD SEDAT PHYS/QHP EA 15 MIN,228
MOD SEDAT SAME PHYS 5YRS/>INIT 15,228
MOD SEDAT SAME PHYS 5YRS/>INIT 15,228
MOD SEDAT SAME PHYS EA 15 MIN,228
MOD SEDAT SAME PHYS EA ADD 15 MIN,228
MOL HI RES ABC,163
MOL HI RES ABC MULTI,367
MOL HI RES DRDQ MULTI,408
MOLD OTHER ID,38.28
MOLD S/H/N ID,38.28
MOLECULAR RBC TYPING - ARC,130
MOTOR SPEECH CURRENT STATUS,0.01
MOTOR SPEECH D/C STATUS,0.01
MOTOR SPEECH GOAL STATUS,0.01
MPL W515&MPL S505 MUTATION ANALY,375
MPO WBC ANTIBODY IDENTIFICATION,28.78
MR CARD MORP FUNC W&W/O,2364
MR CARD MORPH FUNC WO CON,1546
MRA ABDOMEN W/CONTRAST,2859
MRA ABDOMEN W/O CONTRAST,2859
MRA ABDOMEN W/O THEN W/CO,2859
MRA CHEST W/CONTRAST,2859
MRA CHEST W/O CONTRAST,2859
MRA CHEST W/O THEN W/CONT,2859
MRA HEAD W/CONTRAST,3890
MRA HEAD W/O CONTRAST,3890
MRA HEAD W/O THEN W/CONTR,3890
MRA LOW EXT W/O & W/CTR L,2859
MRA LOW EXT W/O & W/CTR R,2859
MRA LOW EXT W/O CONT LT,2859
MRA LOW EXT W/O CONT RT,2859
MRA LOWER EXT W/CONTR LT,2859
MRA LOWER EXT W/CONTR RT,2859
MRA NECK W CONTRAST,3890
MRA NECK W/CONTRAST,3890
MRA NECK W/O CONTRAST/1,3890
MRA NECK W/O THEN W/CONTR,3890
MRA PELVIS W/O & W/CONTR,3890
MRA PELVIS W/O CONTRAST,3890
MRA PELVIS WITH CONTRAST,3890
MRA UPPER EXT LEFT W,2055
MRA UPPER EXT LEFT WO,3321
MRA UPPER EXT LEFT WOW,2510
MRA UPPER EXT RIGHT W,2055
MRA UPPER EXT RIGHT WO,3321
MRA UPPER EXT RIGHT WOW,2510
MRI ABD W/CONTRAST,3890
MRI ABD W/O THEN W/CONTR,3890
MRI ABDOMEN W/O CONTRAST,3890
MRI BONE MARROW,2770
MRI BRAIN W/O CONTRAST,2620
MRI BRAIN WITH AND W/O CO,4225
MRI BRAIN WITH CONTRAST,3384
MRI BREAST BILAT WOW,3890
MRI BREAST BILATERAL W/ CONTRAST,3890
MRI BREAST UNI LT WITH,3890
MRI BREAST UNI LT WOW,3890
MRI BREAST UNI RT WITH,3890
MRI BREAST UNI RT WOW,3890
MRI CERVICAL WITH AND W/O/1,4225
MRI CERVICAL WITH CONTRAS/1,3384
MRI CERVICAL WITHOUT CONT/1,2770
MRI CHEST W/CONTRAST,3890
MRI CHEST W/O CONTRAST,3890
MRI CHEST W/O THEN W/CONT,3890
MRI GAD PER 1ML/2,9
MRI GUID VAC BREAST BX ADD,4200
MRI GUID VAC BREAST BX LT,4200
MRI GUID VAC BREAST BX RT,4200
MRI GUIDE NDL PLCMT S&I,3890
MRI LO EXT JNT LT WO CONT,3890
MRI LO EXT JNT LT WOW CONT,3890
MRI LO EXT JNT RT WOW CONT,3890
MRI LO EXT JOINT W/CONT L,3890
MRI LO EXT JOINT W/CONT R,3890
MRI LO EXT W & W/O CONT L,3890
MRI LO EXT W/CONTR LT,3890
MRI LO EXT W/CONTR RT,3890
MRI LO EXT W/O CONTR LT,3890
MRI LO EXT W/O CONTR RT,3890
MRI LOW EXT JNT RT WO CONT,3890
MRI LOW EXT W & W/O CON R,3890
MRI LUMBAR WITH AND W/O C/1,4225
MRI LUMBAR WITH CONTRAST,3384
MRI LUMBAR WITHOUT CONTRAST,2770
MRI ORBIT FACE NECK W/CON,3890
MRI ORBIT FACE NECK W/O W,3890
MRI ORBIT/FACE/NECK W/O C,3890
MRI PELVIS W/CONTRAST,3890
MRI PELVIS W/O CONTRAST,3890
MRI PELVIS W/O THEN W/CON,3890
MRI PROSTATE WOW,3890
MRI THORACIC WITH AND W/O/1,4225
MRI THORACIC WITH CONTRAS,3384
MRI THORACIC WITHOUT CONT/1,2770
MRI TMJ BILAT,3890
MRI TMJ UNI LT,3321
MRI TMJ UNI RT,3321
MRI UP EXT JNT LT WO CONT,3890
MRI UP EXT JNT LT WOW CONT,3890
MRI UP EXT JNT RT WO CONT,3890
MRI UP EXT JNT RT WOW CONT,3890
MRI UP EXT JOINT W/CONT L,3890
MRI UP EXT JOINT W/CONT R,3890
MRI UP EXT RT WOW CONT,3890
MRI UP EXT W & W/O CONT L,3890
MRI UP EXT W/CONTR LT,3890
MRI UP EXT W/CONTRAST RT,3890
MRI UP EXT W/O CONTR LT,3890
MRI UP EXT W/O CONTRAST R,3890
MRSA SCREEN,22.27
MSLT,6122
MTHFR GENE,116.15
MULTIMETRIC ANALYSIS,89.58
MUMPS ANTIBODIES  IGM,57.05
MUSCLE BIOPSY-LEVEL-IV,150.13
MUSK ANTIBODY TEST,48.79
MUSK ANTIBODY TEST,37.53
MWT,6122
MYCOPHENOLIC ACID AND METABO,36.4
MYCOPLASMA HOMINIS CULT,59.3
MYCOPLASMA PNEUM AB 2 OF 2 IGM,22.75
MYCOPLASMA PNEUM AB(1OF2),22.75
MYELIN ASSOC GLYCOPROT IGG ANTBDY,44.04
MYELIN ASSOC GLYCOPRTN IGM ANTBDY,48.04
MYELIN ASSOCIATED GLYCOPROTEIN,48.04
MYELOGRAM CERVICAL WITH INJ,3034
MYELOGRAM COMPLETE 2+REGION W INJ,3034
MYELOGRAM LUMBOSACRAL WITH INJ,3034
MYELOGRAM THORACIC WITH INJ,3034
MYELOPEROXIDASE ANTIBODY,28.78
MYO PERF PLANAR-SING,3636
MYO PERF PLANAR-SING/1,3636
MYOCARD INFARC WITH 1ST P,3127
MYOCARD PERF  PLANAR MULTI,3636
MYOCARD PERF  PLANAR MULTI/1,3636
MYOCARD PERF  PLANAR MULTI/2,3636
MYOCARD PERF  PLANAR SGL,3636
MYOCARD PERF SPECT MLT,3636
MYOCARD PERF SPECT MLT/1,3636
MYOCARD PERF SPECT MLT/2,3636
MYOCARD PERF SPECT MOD52 LIMITED,1155
MYOCARD PERF SPECT SGL,3636
MYOCARD PERF SPECT SGL/1,3636
MYOCARD PERF SPECT SGL/2,3636
MYOCARDIAL INFARC SCAN,1574
MYOCARDIAL INFARCT - SPEC,4294
MYOGLOBIN SERUM,50.29
MYOGLOBIN U,50.29
N METHLYHISTAMINE  URINE 1OF2,62.56
N.GONORRHOEAE DNA AMP PROB,121.36
NAIT TESTING 1 OF 3,28.78
NASAL BONES MIN 3 VIEWS,713
NASH FIBROSURE 1OF10,57.3
NASOPHARYNGEAL CULTURE,33.53
NATURAL KILLER CELLS  TOTAL COUNT,69.39
NAVICULAR 2 VIEWS LEFT,201
NAVICULAR 2 VIEWS RIGHT,201
NECK SOFT TISSUE,587
NEG PRES WOUND TX <=50SQ CM,217
NEG PRES WOUND TX >50SQ CM,306
NEG PRESS WOUND TX </=50CM,217
NEG PRESS WOUND TX >50CM,306
NEISSERIA MENINGITIS IGG,63
NEONATAL RECTAL SCREEN,33.53
NEONATE CHEST/ABD COMB 1VW,293
NEOX 1K P/SQ CM 2X1 PIECE,889
NEOX 1K P/SQ CM 2X2 PIECE,894
NEOX 1K P/SQ CM 3X2 PIECE,896
NEOX 1K P/SQ CM 3X3 PIECE,698
NEPHROSTOGRAM S/I,699
NERVE BIOPSY-LEVEL IV,150.13
NERVE TEASING,88.98
NEUROLITE TC99M BICASATE TO 25MCI,1770
NEURONAL NUCLEAR AB TITER  SERUM,28.78
NEUTRALIZATION TEST VIRAL,59.8
NEW PT LEVEL 2 WO PROC,263
NEW PT LEVEL 3 W PROC,352
NEW PT LEVEL 3 WO PROC,352
NEW PT LEVEL 4 W PROC,437
NEW PT LEVEL 4 WO PROC,437
NEW PT LEVEL 5 W PROC,570
NEW PT LEVEL 5 WO PROC,570
NEWBORN ABO 1OF2,83.81
NEWBORN RH 2OF2,83.81
NFCT GEXYP DNA/RNA HIV 1 OTHR REG,1044
NICOTINE AND COTININE SERUM/PLASM,200
NICOTINE AND METABOLITE  UR QUANT,200
NM TETROFOSMIN TC99M PER DOSE,695.98
NMDA RECEPTOR AUTOANTIBODY,44.04
NMO IGG AUTOANITBODY,48.04
NON-CARDIAC VASCULAR FLOW STUDY,1968
NOROVIRUS,121.36
NORTRIPTYLINE (AVENTYL)  SERUM,200
NORTRIPTYLINE (AVENTYL)  SERUM,200
NPWT DISPOSABLE <= 50 SQ CM,1048
NPWT DISPOSABLE > 50 SQ CM,1048
NRAS,1337
N-TELOPEPTIDE 2 OF 2 CREAT,20.27
N-TELOPEPTIDE W/CREAT 1O2,37.53
NUCLEAR ANTIGEN ANTIBODY,65.56
NUCLEAR ANTIGEN ANTIBODY,65.56
NUCLEAR ANTIGEN ANTIBODY  EACH,65.56
NUSWAB VAGINITIS (VG),121.36
O & P GIARDIA AG 2 OF 2,38.03
O&P SCREEN CRYPTOSPORIDIUM 1OF2,38.03
O2 FIRST DAY,123
OASIS WOUND MTX PER SQ CM,54.7
OCC THERAPY INITIAL EVAL LEVEL 1,396
OCC THERAPY INITIAL EVAL LEVEL 1,396
OCC THERAPY INITIAL EVAL LEVEL 2,396
OCC THERAPY INITIAL EVAL LEVEL 2,396
OCC THERAPY INITIAL EVAL LEVEL 3,396
OCC THERAPY INITIAL EVAL LEVEL 3,396
OCC THERAPY REEVALUATION,269
OCC THERAPY REEVALUATION,269
OCCLUSION CATHETERS LEVEL 1,450
OCCLUSION CATHETERS LEVEL 3,1050
OLIGOCLONAL BAND CSF,76.82
OP UNSCHED/EMERG DIALYSIS ESRD,4535
OP UNSCHED/EMERG DIALYSIS NONESRD,2190
OR LEV I 0.5 HR,1696
OR LEV I 1.0 HR,3171
OR LEV I 1.5 HR,4646
OR LEV I 10.0 HR,29721
OR LEV I 10.5 HR,31196
OR LEV I 11.0 HR,32671
OR LEV I 11.5 HR,34146
OR LEV I 12.0 HR,35621
OR LEV I 12.5 HR,37096
OR LEV I 13.0 HR,38571
OR LEV I 13.5 HR,40046
OR LEV I 14.0 HR,41521
OR LEV I 14.5 HR,42996
OR LEV I 15.0 HR,44471
OR LEV I 15.5 HR,45946
OR LEV I 16.0 HR,47421
OR LEV I 16.5 HR,48896
OR LEV I 17.0 HR,50371
OR LEV I 17.5 HR,51846
OR LEV I 18.0 HR,53321
OR LEV I 18.5 HR,54796
OR LEV I 19.0 HR,56271
OR LEV I 19.5 HR,57746
OR LEV I 2.0 HR,6121
OR LEV I 2.5 HR,7596
OR LEV I 20.0 HR,59221
OR LEV I 3.0 HR,9071
OR LEV I 3.5 HR,10546
OR LEV I 4.0 HR,12021
OR LEV I 4.5 HR,13496
OR LEV I 5.0 HR,14971
OR LEV I 5.5 HR,16446
OR LEV I 6.0 HR,17921
OR LEV I 6.5 HR,19396
OR LEV I 7.0 HR,20871
OR LEV I 7.5 HR,22346
OR LEV I 8.0 HR,23821
OR LEV I 8.5 HR,25296
OR LEV I 9.0 HR,26771
OR LEV I 9.5 HR,28246
OR LEV II 0.5 HR,1866
OR LEV II 1.0 HR,3488
OR LEV II 1.5 HR,5111
OR LEV II 10.0 HR,32687
OR LEV II 10.5 HR,34309
OR LEV II 11.0 HR,35931
OR LEV II 11.5 HR,37553
OR LEV II 12.0 HR,39175
OR LEV II 12.5 HR,40797
OR LEV II 13.0 HR,42419
OR LEV II 13.5 HR,44041
OR LEV II 14.0 HR,45663
OR LEV II 14.5 HR,47285
OR LEV II 15.0 HR,48907
OR LEV II 15.5 HR,50529
OR LEV II 16.0 HR,52151
OR LEV II 16.5 HR,53773
OR LEV II 17.0 HR,55395
OR LEV II 17.5 HR,57017
OR LEV II 18.0 HR,58639
OR LEV II 18.5 HR,60261
OR LEV II 19.0 HR,61883
OR LEV II 19.5 HR,63505
OR LEV II 2.0 HR,6733
OR LEV II 2.5 HR,8356
OR LEV II 20.0 HR,65127
OR LEV II 3.0 HR,9978
OR LEV II 3.5 HR,11601
OR LEV II 4.0 HR,13223
OR LEV II 4.5 HR,14845
OR LEV II 5.0 HR,16467
OR LEV II 5.5 HR,18089
OR LEV II 6.0 HR,19711
OR LEV II 6.5 HR,21333
OR LEV II 7.0 HR,22955
OR LEV II 7.5 HR,24577
OR LEV II 8.0 HR,26199
OR LEV II 8.5 HR,27821
OR LEV II 9.0 HR,29443
OR LEV II 9.5 HR,31065
OR LEV III 0.5 HR,2052
OR LEV III 1.0 HR,3837
OR LEV III 1.5 HR,5622
OR LEV III 10.0 HR,35966
OR LEV III 10.5 HR,37751
OR LEV III 11.0 HR,39536
OR LEV III 11.5 HR,41321
OR LEV III 12.0 HR,43106
OR LEV III 12.5 HR,44891
OR LEV III 13.0 HR,46676
OR LEV III 13.5 HR,48461
OR LEV III 14.0 HR,50246
OR LEV III 14.5 HR,52031
OR LEV III 15.0 HR,53816
OR LEV III 15.5 HR,55601
OR LEV III 16.0 HR,57386
OR LEV III 16.5 HR,59171
OR LEV III 17.0 HR,60956
OR LEV III 17.5 HR,62741
OR LEV III 18.0 HR,64526
OR LEV III 18.5 HR,66311
OR LEV III 19.0 HR,68096
OR LEV III 19.5 HR,69881
OR LEV III 2.0 HR,7407
OR LEV III 2.5 HR,9191
OR LEV III 20.0 HR,71666
OR LEV III 3.0 HR,10976
OR LEV III 3.5 HR,12761
OR LEV III 4.0 HR,14546
OR LEV III 4.5 HR,16331
OR LEV III 5.0 HR,18116
OR LEV III 5.5 HR,19901
OR LEV III 6.0 HR,21686
OR LEV III 6.5 HR,23471
OR LEV III 7.0 HR,25256
OR LEV III 7.5 HR,27041
OR LEV III 8.0 HR,28826
OR LEV III 8.5 HR,30611
OR LEV III 9.0 HR,32396
OR LEV III 9.5 HR,34181
OR LEV IV 0.5 HR,2258
OR LEV IV 1.0 HR,4221
OR LEV IV 1.5 HR,6184
OR LEV IV 10.0 HR,39555
OR LEV IV 10.5 HR,41518
OR LEV IV 11.0 HR,43481
OR LEV IV 11.5 HR,45444
OR LEV IV 12.0 HR,47407
OR LEV IV 12.5 HR,49370
OR LEV IV 13.0 HR,51333
OR LEV IV 13.5 HR,53296
OR LEV IV 14.0 HR,55259
OR LEV IV 14.5 HR,57222
OR LEV IV 15.0 HR,59185
OR LEV IV 15.5 HR,61148
OR LEV IV 16.0 HR,63111
OR LEV IV 16.5 HR,65074
OR LEV IV 17.0 HR,67037
OR LEV IV 17.5 HR,69000
OR LEV IV 18.0 HR,70963
OR LEV IV 18.5 HR,72926
OR LEV IV 19.0 HR,74889
OR LEV IV 19.5 HR,76852
OR LEV IV 2.0 HR,8147
OR LEV IV 2.5 HR,10111
OR LEV IV 20.0 HR,78815
OR LEV IV 3.0 HR,12074
OR LEV IV 3.5 HR,14037
OR LEV IV 4.0 HR,16000
OR LEV IV 4.5 HR,17964
OR LEV IV 5.0 HR,19927
OR LEV IV 5.5 HR,21890
OR LEV IV 6.0 HR,23853
OR LEV IV 6.5 HR,25814
OR LEV IV 7.0 HR,27777
OR LEV IV 7.5 HR,29740
OR LEV IV 8.0 HR,31703
OR LEV IV 8.5 HR,33666
OR LEV IV 9.0 HR,35629
OR LEV IV 9.5HR,37592
OR LEV IX 0.5 HR,4541
OR LEV IX 1.0 HR,8490
OR LEV IX 1.5 HR,12439
OR LEV IX 10.0 HR,79567
OR LEV IX 10.5 HR,83521
OR LEV IX 11.0 HR,87470
OR LEV IX 11.5 HR,91419
OR LEV IX 12.0 HR,95368
OR LEV IX 12.5 HR,99317
OR LEV IX 13.0 HR,103266
OR LEV IX 13.5 HR,107215
OR LEV IX 14.0 HR,111164
OR LEV IX 14.5 HR,115113
OR LEV IX 15.0 HR,119062
OR LEV IX 15.5 HR,123011
OR LEV IX 16.0 HR,126960
OR LEV IX 16.5 HR,130909
OR LEV IX 17.0 HR,134858
OR LEV IX 17.5 HR,138807
OR LEV IX 18.0 HR,142756
OR LEV IX 18.5 HR,146705
OR LEV IX 19.0 HR,150654
OR LEV IX 19.5 HR,154603
OR LEV IX 2.0 HR,16387
OR LEV IX 2.5 HR,20336
OR LEV IX 20.0 HR,158552
OR LEV IX 3.0 HR,24285
OR LEV IX 3.5 HR,28234
OR LEV IX 4.0 HR,32182
OR LEV IX 4.5 HR,36131
OR LEV IX 5.0 HR,40080
OR LEV IX 5.5 HR,44029
OR LEV IX 6.0 HR,47977
OR LEV IX 6.5 HR,51926
OR LEV IX 7.0 HR,55875
OR LEV IX 7.5 HR,59824
OR LEV IX 8.0 HR,63772
OR LEV IX 8.5 HR,67721
OR LEV IX 9.0 HR,71670
OR LEV IX 9.5 HR,75619
OR LEV V 0.5 HR,2596
OR LEV V 1.0 HR,4854
OR LEV V 1.5 HR,7112
OR LEV V 10.0 HR,45487
OR LEV V 10.5 HR,47744
OR LEV V 11.0 HR,50001
OR LEV V 11.5 HR,52258
OR LEV V 12.0 HR,54515
OR LEV V 12.5 HR,56772
OR LEV V 13.0 HR,59029
OR LEV V 13.5 HR,61286
OR LEV V 14.0 HR,63543
OR LEV V 14.5 HR,65800
OR LEV V 15.0 HR,68057
OR LEV V 15.5 HR,70314
OR LEV V 16.0 HR,72571
OR LEV V 16.5 HR,74828
OR LEV V 17.0 HR,77085
OR LEV V 17.5 HR,79342
OR LEV V 18.0 HR,81599
OR LEV V 18.5 HR,83856
OR LEV V 19.0 HR,86113
OR LEV V 19.5 HR,88370
OR LEV V 2.0 HR,9370
OR LEV V 2.5 HR,11627
OR LEV V 20.0 HR,90627
OR LEV V 3.0 HR,13885
OR LEV V 3.5 HR,16143
OR LEV V 4.0 HR,18400
OR LEV V 4.5 HR,20658
OR LEV V 5.0 HR,22916
OR LEV V 5.5 HR,25173
OR LEV V 6.0 HR,27431
OR LEV V 6.5 HR,29688
OR LEV V 7.0 HR,31945
OR LEV V 7.5 HR,34202
OR LEV V 8.0 HR,36459
OR LEV V 8.5 HR,38716
OR LEV V 9.0 HR,40973
OR LEV V 9.5HR,43230
OR LEV VI 0.5 HR,2986
OR LEV VI 1.0 HR,5582
OR LEV VI 1.5 HR,8179
OR LEV VI 10.0 HR,52314
OR LEV VI 10.5 HR,54910
OR LEV VI 11.0 HR,57506
OR LEV VI 11.5 HR,60102
OR LEV VI 12.0 HR,62698
OR LEV VI 12.5 HR,65294
OR LEV VI 13.0 HR,67890
OR LEV VI 13.5 HR,70486
OR LEV VI 14.0 HR,73082
OR LEV VI 14.5 HR,75678
OR LEV VI 15.0 HR,78274
OR LEV VI 15.5 HR,80870
OR LEV VI 16.0 HR,83466
OR LEV VI 16.5 HR,86062
OR LEV VI 17.0 HR,88658
OR LEV VI 17.5 HR,91254
OR LEV VI 18.0 HR,93850
OR LEV VI 18.5 HR,96446
OR LEV VI 19.0 HR,99042
OR LEV VI 19.5 HR,101638
OR LEV VI 2.0 HR,10775
OR LEV VI 2.5 HR,13371
OR LEV VI 20.0 HR,104234
OR LEV VI 3.0 HR,15968
OR LEV VI 3.5 HR,18564
OR LEV VI 4.0 HR,21160
OR LEV VI 4.5 HR,23757
OR LEV VI 5.0 HR,26353
OR LEV VI 5.5 HR,28950
OR LEV VI 6.0 HR,31546
OR LEV VI 6.5 HR,34142
OR LEV VI 7.0 HR,36738
OR LEV VI 7.5 HR,39334
OR LEV VI 8.0 HR,41930
OR LEV VI 8.5 HR,44526
OR LEV VI 9.0 HR,47122
OR LEV VI 9.5HR,49718
OR LEV VII 0.5 HR,3434
OR LEV VII 1.0 HR,6420
OR LEV VII 1.5 HR,9405
OR LEV VII 10.0 HR,60164
OR LEV VII 10.5 HR,63150
OR LEV VII 11.0 HR,66136
OR LEV VII 11.5 HR,69122
OR LEV VII 12.0 HR,72108
OR LEV VII 12.5 HR,75094
OR LEV VII 13.0 HR,78080
